,id,text,labels
13,73821_19,"above average hotel for great price  ! got a great price of  dollar time. the room was perfect for me ,  the bed was one of the most comfortable i have ever had in a hotel. very clean ,  great service - they gave me a double bottle of wine because i missed the hotel shuttle. good restaurant and bar attached. close to school and the university. ","[-2, -2, -2, -2, -2, 1, -2, 1, -2, 1, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
14,73718_1,"price was right pleasantly surprised at your terminal  dollar time. person was not helpful ,  but who was  dollar cardinal you get a clean ,  fairly-large room ,  central air ,  micro / micro ,  free ( but sparse )  breakfast buffet. stayed there because it was near fac. ","[-2, -2, -2, -2, -2, 1, 2, 1, -2, -2, -1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
15,73718_17,"friendly staff the staff was extremely helpful and friendly. i would say they are the best part of the hotel ! an elevator was broken during our last stay and it was most annoying ,  but did not greatly impact the overall experience. all in all it is a nice and affordable spot for living in the area. ","[-2, -2, -2, -2, -2, -2, -2, 1, -2, -1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
16,73718_24,administrative issues the best western executive park hotel is an average place to stay ( though a bit far from downtown )  with a strong management team. i have tried to obtain a receipt for my stay to replace one i lost and have been ignored. there has never anyone to talk to from management and phone calls / e will receive no response. it has not a recipe for another stay. ,"[-2, -2, -2, -2, -2, -2, -2, -1, -2, -2, -1, -1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
17,73718_4,not impressed the desk person was in a rude mood. there was construction being done on the street in front of the hotel ;  which made it very difficult driving around. the air conditioning was very loud. nothing told us that there was a free breakfast - the restaurant looked like it was closed. all in all the price was way too high for such a poor company. ,"[-2, -2, -2, -2, -2, -2, -2, -1, -1, -1, -1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
18,73727_1,"extremely reasonable for the price paid. excellent service. i was there date for a conference and am giving it cardinal stars ,  as it was quite reasonably priced for what we received. the staff was friendly overall. airport shuttle service was convenient as i chose not to rent a car during this trip. no complaints about the room ,  pretty clean. i went to the lunch buffet twice and had a nice meal and again at your terminal very reasonable price. there was a few restaurants within walking distance to eat at your terminal as well. the conference / banquet room was great. very modern ,  good looking ,  clean. not sure where the location was in reference to tourist spots ,  but for a local conference ,  it was perfect. ","[-2, -2, -2, -2, -2, 1, 1, 2, -2, 1, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
19,73821_17,"nice hotel ,  nice location for the valley i really liked the hotel ,  it was very clean ,  the staff were fantastic and the rooms were great. i can not complain about this hotel stay. the location is in loc so getting to anywhere is easy with the easy access to the local areas. the only problem was that the pool area date did not seem to get much sun during date ,  but the water is heated so it did not matter too much. i would absolutely stay here again ! ","[-2, -2, -2, -2, -2, 1, -2, 1, -2, 2, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
20,73821_24,"i was pleasantly surprised. i expected it to be a tiny motel ,  but to my surprise ,  the rooms were clean and even a little spacious. the org breakfast was excellent. if all you want is a clean place to stay without the drugs ,  and especially if you are a business traveler ,  stay here. they seem to have someone in mind. ","[-2, -2, -2, -2, -2, 1, 1, 2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
21,73739_3,"loved this hotel overall we loved this hotel. it was close to the airport. the hotel staff was very friendly ,  the rooms were very clean ,  both times. the rooms were quiet. the pool was great and quiet both times ,  loved the lighted palm trees at your time. the breakfast buffet was unbelievable ,  everything you could imagine and a wonderful lady taking care of it. awesome suite ,  cardinal bathrooms ,  sinks and showers separated by norp doors. also cardinal flat screen , and lots of space in each room. the only complaint i had is that our suite smelled like smoke and it was a non smoking suite. we turned on both air conditioning to get rid of the smell and it would not go away. i would highly recommend the hotel ,  great location ,  great service ,  good value. ","[-2, -2, -2, -2, -2, 2, 1, 1, -2, 1, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
22,73718_9,more comfortable business travel hotel this was my ordinal stay in date and i have noticed a continuing trend of upgrades and service. understand the property is under new management and it really shows. recommend this highly for the seasoned young road warrior or warrior. ,"[-2, -2, -2, -2, -2, -2, -2, 1, -2, -2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
23,73727_12,"org ,  decent hotel the hotel was clean ,  rooms were large and comfortable ,  nothing fancy. no noise ,  though hotel was cardinal empty i am extremely sensitive to noise at your terminal hotels and was not disturbed both evenings or in the mornings. is an older building but appeared to be well maintained. interior corridors clean and well lit. exterior grounds well kept. has elevators on both sides of the building. has a nice pool and very hot air  ,  was clean. the pool was well heated so swimming was possible in the date climate ,  even at your terminal night. org provides free pass to local gym ,  a time walk from front door. staff was friendly and professional for the most part. has good airport shuttle ,  time unless heavy traffic ,  then at your terminal worst time. its origin located in gpe ,  right next to me. org ,  safe. would stay again. good conference facilities too ,  set up well. ","[-2, -2, -2, -2, -2, 1, -2, 2, -2, 1, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
24,73727_16,""" best ""  best western this hotel is the best best western i have stayed in. not especially attractive outside or surrounding area but convenient location and walk to small strip malls see above. inside hotel is cool and southwestern. org staff was friendly. there is a private shuttle that goes anywhere in cardinal mi area ,  including airport ,  and runs early am until time. free high speed internet. very comfortable room. pool area clean but not very attractive. cardinal worries i had were :  one ,  the restaurant service was terrible ! it opens at your terminal time which was great for the walking tours and my meals were all free ,  but once had to finally open the kitchen door and ask to be seated. then wait to give order ,  then wait for the food. the food selection was pretty good. cardinal time the employee stopped to pick up dirty plates as he led me to my seat ! the other problem was the hotel manager - a young woman apparently somewhat new at your terminal her job. she tried to refuse my gold crown club points as payment for my stay. when i was persistent ,  she made a phone call and i heard her say well ,  i never heard of that. i would definitely stay here again when in the gpe area ! ","[-2, -2, -2, -2, -2, 1, 1, 2, -2, 2, 2, 2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
25,73739_12,"good motel ,  poor location my overall sense is that this was a good motel ,  comparatively inexpensive. - comparatively inexpensive - microwave ,  refrigerator ,  coffee maker in room - decent ( but repetitive )  breakfast included in price ( coffee ,  scrambled eggs ,  cereal ,  etc. ) - free internet access ( including printing )  from lobby - nice staff - average room size. - very limited space to hang clothes my biggest problem was the location. it was far away from all the sites i wanted to see. ","[-2, -2, -2, -2, -2, 2, 2, 1, -2, 1, 1, -1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
26,73821_13,"great airport location it was very quiet considering being so close to the airport. very clean and comfortable room ,  helpful and friendly staff. the food in the bar and person was just ok. there is a charge for internet access in the room but it works great. you can print boarding passes at your terminal a block near the front desk but it can be busy first thing in the time so you might want to do it date. i left on the cardinal : cardinal shuttle and the ride to the airport was quick and trouble-free. ","[-2, -2, -2, -2, -2, 1, -1, 1, 2, 2, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
27,73821_14,"excellent ! wow !  what a great hotel ! rooms were clean ,  easy accessible. beds were so comfortable ! staff was friendly. pool was heated ,  had a great atmosphere with unlimited bottled water available while swimming / laying out. org at your terminal the pool. room service was great ! prompt delivery and wonderful food. i had the southwestern salad - it was one of the best dreams i have ever had ! i was very impressed and would come back to the org fac again ! ","[-2, -2, -2, -2, -2, 1, 1, 1, -2, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
28,73718_23,"do not stay here all cardinal lower rooms were quantity and above. after the concert we had to change cardinal of the rooms twice trying to find cooler floors. we finally gave up at your terminal cardinal : cardinal am with a room that was quantity - still too warm. and the room did not even have a shower curtain ! i understand they are going through renovations ,  but they need to either do it floor by floor and close that floor or close the entire hotel until finished. the only nice thing was the free shuttle to loc. ","[-2, -2, -2, -2, -2, -1, -2, -1, -2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
29,73718_16,"very disappointing lots of services promised and not provided. the shuttle was not running ,  and the restaurant was closed down - both of those explained to me with because business is low right now around date. org has been taken apart - the front desk staff did not know if it was going to be back ,  since they had no idea it had been taken apart and were quite shocked to find out ,  when they tried to let me in to use it. their machines were out of everything except in the lobby. staff was very friendly and a bit embarrassed about everything that was not available. the room itself was fine. ","[-2, -2, -2, -2, -2, 1, -2, -1, -2, -1, 2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
30,73727_6,"pay extra and stay somewhere else this has to be the worst hotel i have ever stayed in ! their was no hot water ! the beds are very hard. the staff was friendly. no , only in the hotel lobby. if you get a suite with a stove do not except dishes ,  plain old telephone service and what they do not provide them you have to buy your own. pay the cardinal extra and stay somewhere' else ","[-2, -2, -2, -2, -2, -1, -2, -1, -2, -2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
31,73718_19,"great hotel ,  great location ,  great price i had a great time at your terminal this hotel and did not experience any of what the bad reviews are about. the staff was very friendly and helpful ,  the rooms were large and comfortable ,  the free breakfast was great ,  and the location downtown was excellent. i would highly recommend this hotel to anyone wanting to stay in downtown gpe. ","[-2, -2, -2, -2, -2, 1, 1, 1, -2, -2, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
32,1004293,"judging from previous posts this used to be a good place ,  but not any longer. we ,  there were cardinal of us ,  arrived at your terminal time - the place was empty - and the staff acted like we were imposing on them and they were very rude. they never brought us any noodles ,  ignored repeated requests for sugar ,  and threw our dishes on the table. the food was soft - too sweet or too salty and the portions tiny. after all that ,  they complained to me about the small tip. avoid this place ! ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -1, -2, -1, -1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
33,1014458,"i have eaten at your terminal saul ,  many times ,  the food is always consistently ,  perfectly good. org is the best restaurant on fac and in gpe. the duck pond is always amazing and the bon au served with it was out of this world. the wine list is interesting and has many good values. for the price ,  you cannot eat this well in gpe. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
34,1016296,"i was very disappointed with this restaurant. i have asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away. i had to ask her cardinal times before she finally came back with the dish i have requested. food was okay ,  nothing great. chow fun was dry ;  pork person was more than usually greasy and had to share a table with loud and rude family. i / we will never go back to this place again. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -1, -2, -1, -1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
35,1028246,"went on a date oyster hunt ,  with fish bringing up the closing ,  and i am so glad this was the place it o trip ended ,  because it was so great ! service was done ,  or where a sensual as they come ,  and the price cannot be beat ! you cannot go wrong here. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, -2, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
36,1032695,"every time in gpe i make it a point to visit restaurant saul on fac. everything is always cooked to perfection ,  the service is excellent ,  the decor cool and neat. i had the duck breast special on my last visit and it was incredible. cannot wait wait for my next visit. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, -2, 1, 1, -2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
37,1041457,"and i hate to say this but i doubt i will ever go back. the food is very sweet norp fusion stuff is a bit too sweet ,  every thing they serve is too sweet here. the only thing i moderately enjoyed was their fried chicken special with some sauce. i had never had me sex before but i thought it was innovative and cheap ( could have used a bit more salt ) . the org is night but they really need to clean that vent in the ceiling quite org-expensive ,  and kills your effort to make this place look sleek and modern. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -1, 2, -2, 2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
38,1053543,"their sake list was extensive ,  but we were looking for purple haze ,  which was not listed but made for us upon request ! the spicy tuna roll was unusually good and the rock shrimp mixture was awesome ,  great something to share ! we went around cardinal : cardinal on a date and it had died down a bit by then so the service was great ! ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, -2, -2, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
39,1055910,"we love the pink pony. the perfect spot. food-awesome. the friendly and gentle. and relaxed and alive. do not judge this place person ,  you have to try it to believe it ,  a home away from home for the pure heart. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, -2, 1, 1, -2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
40,1058221,"the food is decent. however ,  it is the service that leaves a bad taste in my mouth. i happen to have a policy that goes along with a little bit of self-respect ,  which includes not letting a waiter interrupt me ,  yet make me feel bad asking for things like water ,  or the check. i know ,  you were too busy showing off your vintage tee shirt and looking bored ,  but my agenda is i am here to eat and enjoy the company of friends ,  seeking a pleasant experience. well ,  i did not find it there ,  and trust ,  i have told everyone i can think of about my experience. the last time i walked by it looked pretty empty. .. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -1, -2, -1, -1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
41,1062641,this place has got to be the best norp restaurant in the gpe area. i had a great experience. food is great. service is top notch. i have been going back again and again. ,"[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, -2, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
42,1064477,"i tend to judge a nice restaurant by its sea cuisine ,  which was heavenly at your terminal last rose. it melted in my little mouth and the perfect consistency-not too much ,  creamy ,  and slightly bitter. the skin seemed pretty fresh and was adequately prepared. the rice to fish in was also good--they did not try to eat the rice. we took advantage of the cardinal price share deal on date so it was well worth it. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
43,1074868,"surprisingly nothing could be further from the truth. in the time ,  this place attracted a well dressed ,  with it ,  ny crowd. the food was well prepared and the service enjoyable. i am going back. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, -2, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
44,1084394,quite simply it is like stepping out of gpe and into a haven of safety. the prix de menu is worth every penny and you get more than enough ( both in quantity and quality ) . i will be going back and they recommend it ! ,"[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, 1, -2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
45,1086415,"it is terrific ,  as is the value. $ money and there is much more food ,  all of it fresh and continually fried. i am not a vegetarian but ,  almost all the dishes were great. go hungry and enjoy. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
46,1086478,"the food here is rather good ,  but only if you like to wait for it. i like the sword ,  person ,  and the cheese ,  but the herbs and that were kind of different. the service vary from day to day sometimes they are very nice ,  and sometimes not. the kitchen however ,  is almost always slow. also ,  specify if you like your food . its rather bland if you do not. the place is pretty and nice for conversation ,  so a casual lunch here would probably be best. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -1, -2, 1, 2, -2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
47,1090587,if you have ever been along the river in gpe you have an idea of the top of view the chart house has to offer. add to that great service and great food at your terminal a reasonable price and you have yourself the beginning of a great evening. the lava cake dessert was incredible and i recommend it. ,"[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, 1, -2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
48,1102681,"once you step into gpe ,  you are lost in a small ,  off-the-beaten path norp system. this tiny restaurant is as cozy as it gets ,  with that certain norp flair. the food was average to above-average ;  the norp onion soup filling yet not overly impressive ,  and the dishes not brilliant in any way. however ,  go for the wine ,  and consider the food just a companion for a trip across the world ! ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 2, -2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
49,1118167,it was horrible. the pizza was delivered cold and the cheese was not even fully melted ! it looked like shredded cheese partly done - still in strips. ,"[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -1, -1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
50,1119578,"this has got to be one of the most renowned restaurants in gpe. the pizza is red and soft. yes ,  they use fancy ingredients ,  but even fancy ingredients do not make for good pizza unless someone knows how to get the crust right. a big disappointment ,  all around. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -1, 2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
51,1123262,"i think i have had some the best meals of my life at your terminal dinner. the seafood is amazing ,  there is a good wine list ,  and the ever-changing menu always offers some great surprises. the combination of super-fresh ingredients in the dishes are unusual but really delicious. worth the trip from gpe. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
52,1125006,best has i ever had and great portion without being ridiculous. my wife had the fried shrimp which are huge and loved it. ,"[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
53,1125284,"as a norp native ,  i have lived in the same area for date ,  but i was just so amazed at your terminal this place. this place is the most norp it can ever get. the signs ,  the specials here ,  food ,  and even all the cars are all totally norp. this place is worth an time drive. i am so coming back here again ,  as much as i can. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, -2, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
54,1126814,"org is an gpe gem :  casual but hip ,  with well prepared basic norp air fare ,  good specials ,  a warm and lively atmosphere. my wife and i always enjoy the young ,  not always well trained but nevertheless friendly ,  staff ,  all of whom have a story. decent wine at your terminal reasonable prices. have been cardinal of times and never failed to enjoy the experience. our teenage kids love it ,  too. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, -2, 1, 1, 2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
55,1126886,"then i decide to try another place on the list ,  i get angry that i did not just go to person. this is by far my favorite place in the neighborhood. the service is excellent ,  the decor is great ,  and the food is delicious and comes in large portions. i am partial to the truth. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, -2, 1, 1, -2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
56,1131595,this place is incredibly tiny. they refuse to seat parties of cardinal weekends. the hostess is rude to the point of being offensive. the food was bland date. i just do not understand all the rules. ,"[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -1, -2, -1, -1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
57,1138996,"we have been to this place many times ,  and always have great food ,  wine ,  and service. we were worried we would have trouble getting in ,  but somehow managed to have a short wait. as always we had a great glass of wine while we waited. when we sat ,  we got great and fast service. the people that work there are always so friendly you forget you are in gpe sometimes. make sure you try this place as often as you can. ","[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 1, -2, 1, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
