,labels,frequency
150,meals,25
151,cake,4
152,lamb with orzo,1
153,fish,47
154,eggplant and zucchini,1
155,comfort food,2
156,pizza,66
157,grandma slices,1
158,reservation,137
159,sushi options,1
160,asparagus and cucumber,1
161,ceviche,4
162,dishes,88
163,open tables,1
164,drink,139
165,prefix dinner,1
166,garlic shrimp appetizer,1
167,fries,20
168,vegetable carpaccio,1
169,diner drink,1
170,chicken with mushroom,1
171,telephono,1
172,quality,33
173,drycleaning bill,1
174,bottle,10
175,beer,30
176,scallops,6
177,salad,36
178,water glasses,8
179,servers,43
180,cheese,29
181,steaks,11
182,house salad,2
183,fried calamari,2
184,slices,8
185,sole,2
186,clam sauce,1
187,delivery,13
188,seating,36
189,counter space,1
190,bottom,1
191,sauce,33
192,top,1
193,man,2
194,space,48
195,ice cream,8
196,fois gras,1
197,rack of lamb,2
198,ices,1
199,water and wine glasses,2
200,root beer,1
201,ground,2
202,margarita pizza,1
203,calamari appetizer,2
204,salmon entree,1
205,stuff,4
206,party space,1
207,informal dining room,1
208,goat cheese,6
209,sun dried tomato ravioli,1
210,calamari,9
211,school cocktail,1
212,ambiance,19
213,music,26
214,individual casseroles,1
215,dense milkshakes,1
216,fish sauce,1
217,chopped olive,1
218,lettuce,4
219,downstairs,2
220,portion,17
221,setting,15
222,waiting room,1
223,list,4
224,chicken,36
225,pancakes,10
226,flavor,44
227,courses,11
228,garden,7
229,dining outdoors,1
230,potatoes,3
231,stew,1
232,shredded pork,1
233,communication,1
234,lentil avacado salad,1
235,lunch counter,1
236,oyster quail egg shooters,1
237,carts,1
238,sicilian pizza,1
239,lbs,1
240,garlic bread,3
241,bathroom,8
242,owner,50
243,bottle of wine,16
244,arepas,1
245,taste,17
246,value,15
247,quality of the food,2
248,egg and cheese,1
249,bagel,2
250,live jazz band,3
251,lobster cobb salad,1
252,wines,13
253,rice,23
254,patrons,6
255,entertainment,5
256,filet mignon,6
257,grilled cornish,1
258,hen,1
259,fish kebabs,1
260,milk,2
261,coffee  tea,1
262,apple sourdough pie,1
263,orange cake,1
264,bundt cake,1
265,ground lamb in spicy sauce,1
266,staffs,1
267,attitude,14
268,french food,1
269,seated,20
270,dining room table,1
271,cheeses,3
272,the cheese course,1
273,prime rib,2
274,halibut,2
275,sauces,10
276,tuna a la carte,1
277,wild salmon and chicken breast,1
278,prix fixe,5
279,dine,3
280,flavors,10
281,tortellini filled with prosciu,1
282,beef in a porcini  butter sauc,1
283,dumplings,6
284,main courses,7
285,menu choices,2
286,ambience,35
287,table waiting,3
288,snack,3
289,tapas,14
290,ribs,15
291,austrian cuisine,1
292,money,6
293,seafood offerings,1
294,lobster tails  steamed crab le,1
295,wild alaskan salmon,1
296,pasta,27
297,dining,54
298,delivery range,1
299,chunk,1
300,beef short rib,1
301,room,18
302,pan  italian menu,1
303,farm roasted coffee served,1
304,lengthy menu,1
305,pork in plum sauce,1
306,pork with chili and basil leav,1
307,bean curd coconut milk soup,1
308,appitizers,4
309,croquetas,1
310,main entrees,1
311,pan roasted new onions,1
312,specific table,1
313,glass,23
314,cheeseburger,2
315,duck  foie gras,1
316,new staff,3
317,duck quesadilla,1
318,maki roll,1
319,menu contains,1
320,japanese fusion,1
321,italian dishes,2
322,crab cakes,3
323,fried oysters and onion rings,1
324,tables filled with dining patr,1
325,fare,13
326,cup,7
327,table cloths,1
328,kitchen,38
329,lit space,1
330,chips,5
331,waitress service,1
332,glass of red wine,1
333,marscapone version,1
334,cook,1
335,brioche french toast,1
336,sandwich of scrambled eggs and,1
337,biscuit,1
338,diner,20
339,tapas dishes,1
340,overzealous kitchen,1
341,dinner special,1
342,charred squid salad,1
343,bar scene,4
344,chicken dishes,1
345,vegetables,8
346,singing wait staff,1
347,crowd,27
348,veal for main course,1
349,hanger steak,3
350,vibe,4
351,dj,9
352,crystal,1
353,management,16
354,soups,8
355,area,17
356,drink sake,1
357,homestyle italian cooking,1
358,grilled chicken,2
359,pork dumplings,1
360,pie,6
361,sushi platter,1
362,lounge area,4
363,yuckity,1
364,sangria,15
365,bar area,8
366,late  night dinner,1
367,prix fixe menu,3
368,baby bottles,1
369,smallest martini,1
370,tag,1
371,slices of sausage,1
372,veal meatballs,1
373,vodka glass,1
374,small shrimp,1
375,course,3
376,multiple chef,1
377,main dining room,5
378,new york room,1
379,beer selection,3
380,grill with pork,1
381,slopers sipping wines,1
382,sandwiches,15
383,multi  course dinner,1
384,clam miso soup,1
385,scallions,1
386,avocado,2
387,and jalapeno mayonnaise,1
388,shochu,1
389,tequila,1
390,buffet,5
391,tip,19
392,smokey baked beans,1
393,coleslaw,1
394,furniture,2
395,bartendars,2
396,grizzle,1
397,outdoors,1
398,drinks includes raspberry lemo,1
399,assortment of smoothies,1
400,iced teas,1
401,shrimp,12
402,lobster,11
403,exotic fish,1
404,flower stuffed,1
405,lump crab meat,1
406,chicken fajitas,1
407,club soda  filled with ice,1
408,lime,1
409,seating for dinner,1
410,chicken makhni,1
411,indian for butter chicken,1
412,ka  choori appetizer,1
413,vegetarian,3
414,door,8
415,candle  lit bar,1
416,rustic  chic dining room,1
417,curtain,1
418,main dining area,1
419,family meal,1
420,spinach,11
421,salads,22
422,dinner specials,1
423,diner fare,1
424,food quality,8
425,priced menu,1
426,garlic kick,1
427,weekday lunch,1
428,basil,3
429,live scallop,1
430,choices,7
431,change,2
432,lunch specials,4
433,meats,5
434,cheese sticks,1
435,dining area,3
436,time,30
437,man chair,1
438,bartenders,6
439,corridor,1
440,counters,1
441,dining areas,2
442,wine selection,4
443,the glass,1
444,tom s food,1
445,omelettes,1
446,chicken dumpling soup,1
447,portion of brown rice,1
448,kale,1
449,carrots,3
450,seaweed,1
451,tahini,1
452,hudson bar,1
453,mooshu spring rolls,1
454,steamed dumplings alright,1
455,dead fish,1
456,chocolate decoration,1
457,entree options,2
458,salmon teriyaki,1
459,champagne,6
460,tap,8
461,cream joint,1
462,cream shop server,1
463,ginger root,1
464,booth,3
465,noodles with steak,1
466,boton shrimp,1
467,sea eel,1
468,assortment of vegetable,1
469,seafood spring,1
470,rolls,16
471,slices of lemon,1
472,glasses,9
473,temperature,2
474,christmas,1
475,mexican food,4
476,hot salsa,1
477,noise,7
478,tinned beans,1
479,point,2
480,reservation time,1
481,trendier,1
482,main chef,1
483,water guy,1
484,buffalo,1
485,sauce over the mozzarella,1
486,cuisine,13
487,gesture,1
488,red wine,4
489,mexican art,1
490,dim,2
491,yuka,1
492,salmon roe  and cucumber,1
493,crispy salmon skin,1
494,employes,1
495,sci  fi music,1
496,deserts,2
497,leisurely dinner,1
498,spaghetti with ricotta cheese,1
499,martini,7
500,mixed vegetables,1
501,mussels,17
502,paninis,1
503,italian sandwiches,1
504,bowl of french onion soup with,1
505,plum wine,1
506,drink orders,1
507,chips and salsa,1
508,salad dressing,1
509,price atmosphere cocktails,1
510,pork chops,4
511,fried fish,1
512,platter,5
513,ombiance,1
514,array,3
515,bakery,2
516,retro interior,1
517,glass of sangria each,1
518,pizzas,5
519,name,1
520,house towards cooking,1
521,care,3
522,menu prices,3
523,grill,5
524,white,3
525,waiting patrons,1
526,entree plate with three shrimp,1
527,soup,18
528,mix,5
529,seafood platter,1
530,chefs,9
531,quality of food,5
532,managers,7
533,sausage,3
534,pulled pork,1
535,boiled chunk,1
536,fat,4
537,mac,1
538,event,1
539,beef tender tips,1
540,new sushi menu,1
541,royalty,2
542,windows,1
543,fireplaces,2
544,chairs,12
545,cafe  romantic,1
546,cod and chips,1
547,fried mars,1
548,bars,2
549,fried reeses peanut butter cup,1
550,drink menu,2
551,fettucine alfredo,1
552,white clam sauce,2
553,maitre,12
554,butter cookies,1
555,new jazz bar,1
556,dining garden,1
557,thin crust pizzas,1
558,lasagna menu,1
559,sushi bar,5
560,argentinian cuisine,1
561,waiting area,7
562,serving,10
563,steepest drink prices,1
564,environment,7
565,steamed mussels and clams and,1
566,vindaloo,1
567,tikka masala,1
568,curry,3
569,servings,2
570,lemon potatoes,1
571,korean bbq,1
572,korean appetizer,1
573,jukebox,4
574,square,1
575,diners,21
576,drink martinis,1
577,fried oysters and clams,1
578,mimosas,2
579,dining experience,4
580,mixed greens,1
581,balsamic vinagrette,1
582,italian bread,1
583,eggs with potato pancakes,1
584,round of drinks,3
585,half  full wine glass declarin,1
586,reviewers,1
587,privacy,4
588,lighting,7
589,calimari and fried zucchini,1
590,chicken marsala,2
591,spaghetti w meatballs,1
592,indian food,5
593,sugar,5
594,confections,1
595,pork,12
596,hearty lunches,1
597,sushi platters,1
598,salmon and tuna,1
599,flavor surprises,1
600,cuisines,1
601,service staff,1
602,interior,7
603,cocktail,8
604,white room,1
605,raz mojito,1
606,peking duck salad,1
607,tuna  vegetable fried rice,1
608,guacamole,7
609,vegtable,1
610,asparagus,3
611,eggs benedict with smoked salm,1
612,new appetizers,1
613,tuna tartare,2
614,shrimp wrapped in prosciutto,1
615,lamb chops,2
616,amble sweetbreads,1
617,goat cheese  caviar ravioli ap,1
618,scallops in a cream reduction ,1
619,blue margarita,1
620,succulent barbecued pork,1
621,thick salsa cruda,1
622,pub,1
623,app,2
624,dinners,4
625,terrace,2
626,food chef,2
627,crust,15
628,blackened air,1
629,american fare,1
630,potato skins,1
631,burgers and grilled chicken,1
632,international cuisine,1
633,wraps,1
634,pot stickers,1
635,cheese cellar,1
636,portions of rice porridge,1
637,noodles,4
638,dim sum atmosphere,1
639,tomato and onion salad,1
640,slabs of bacon,1
641,chinese food,10
642,oysters,10
643,bagle,1
644,pastry,2
645,chinese cuisine,1
646,foie gras,3
647,sauce with chopped asparagus,1
648,adobo salad,1
649,concoction,2
650,kitchen staff,3
651,cooking chops,1
652,burger,17
653,selection,9
654,austrian,1
655,american,1
656,red seats,1
657,candles,5
658,cocktail price,1
659,chili,3
660,mac cheese,2
661,ample appetizers,1
662,word chicken,1
663,grilled flank steak,1
664,mayonaisse,1
665,food runners,1
666,pastas,9
667,crust pizza,2
668,pre  ice cream nourishment,1
669,lobster salad,1
670,brioche rolls,1
671,non  sushi rolls,1
672,veal,4
673,handwritten menu,1
674,rabbit,1
675,sea bass cakes,1
676,beverages,3
677,tuna rolls,1
678,peruvian corn,1
679,beers,11
680,caviar,2
681,salmon and crab salad,1
682,white porcelain trays,1
683,salt cod fritter stuffed with ,1
684,mix of sherry vinegar,1
685,cognac,1
686,argentinian pizza,1
687,pelligrino,1
688,blue cheese,1
689,plate,12
690,stunning octopus portion,1
691,sashimi,9
692,thai,3
693,spice,3
694,coat check,1
695,table service,1
696,fruit,4
697,fondu,1
698,jalepeno slices,1
699,hamburgers,2
700,sort of fish roll,1
701,bollos appetizer,1
702,roasted corn fritter w a tsty ,1
703,mahi mahi,1
704,cheese omelet,1
705,yellow pancake,1
706,yellowtail,2
707,penne and vodka sauce,1
708,open area kitchen,1
709,chef  owner,1
710,shrimp dish,2
711,jello,1
712,turkey,1
713,caucasus,1
714,lines,7
715,salmon with horseradish sauce,1
716,plain slice,1
717,pre  made multi  topping slice,1
718,plastic cheese bread,1
719,champagne glasses,1
720,main bar,1
721,fillings,1
722,chicken to portobello mushroom,1
723,italian fare,1
724,prepared,1
725,fillet minion,1
726,mekong box,1
727,pork sandwich,1
728,asian salad,1
729,omakase,1
730,sushi alike,1
731,maine lobster and rock shrimp,1
732,wrap,2
733,lobster man,1
734,apple chutney,1
735,reds,1
736,shared table,1
737,sushi  sashimi lunch combo,1
738,veal with goat cheese,1
739,gnocchi with crab meat,1
740,rock,2
741,mesclun,1
742,veal parmigiana,1
743,white wine,3
744,linguini giovanni,1
745,menu interesting,1
746,vegetable plate,1
747,tomato paste,1
748,bouillabaisse,1
749,actors,3
750,crowds drinking wine,1
751,suits,1
752,parties,2
753,legendary big mac,1
754,menu items,5
755,chicken parm,2
756,chicken tikka masala,4
757,chicken with stewed tomatoes,1
758,single waiter,1
759,mixed steamed seafood appetize,1
760,cold food,1
761,soda,7
762,butter,4
763,new american menu,1
764,seared scallops atop,1
765,mix of chili sauce and creme f,1
766,green,1
767,results,1
768,roasted branzino,1
769,well  charred rib,1
770,roast suckling pig,1
771,dinner entrees,2
772,sunday brunch,1
773,jazz,1
774,kobe sashimi salad with coconu,1
775,lobster ravioli,4
776,feel,4
777,billy  cheese steak sandwich,1
778,greek pastries,1
779,lobster tail,1
780,crab,2
781,mashed potatoes,5
782,carte,2
783,basil chicken and shrimp tempu,1
784,lime and mango chutney,1
785,fondue,2
786,price tag,3
787,pasteis filled with goat chees,1
788,salt  not garlic,1
789,gentleman,6
790,pad thai shrimp and shrimp tem,1
791,rum,1
792,goin,1
793,sweet masala chai,1
794,rice pudding,5
795,chicken fajitahs,1
796,humus pita,1
797,single serve steak,1
798,gulab jamun  dessert ,1
799,size,4
800,ceiling,6
801,guacamoleshrimp appetizer,1
802,frites,1
803,doors,1
804,tuna tatare,1
805,salt,3
806,pad thai,2
807,lobster or tofu,1
808,portugues salmon,1
809,apetizers,3
810,french toast,6
811,granola,1
812,vegetable samosas,1
813,chicken wings,2
814,dining tables,1
815,papers,1
816,coffee houses,1
817,missing appetizer,1
818,description,2
819,rabbit chicken,1
820,paella vallenciana,1
821,fordham kids,1
822,family  style dinner,1
823,front door hostess,1
824,pre dinner drink,1
825,tostones,1
826,garlic,3
827,pan,1
828,chicken pot pie,1
829,dipping sauce,1
830,cup of coffee,3
831,portion size,3
832,desssert,1
833,greek coffee,1
834,pre  theater dinner,1
835,glass bottle,1
836,alien,1
837,mounds,1
838,tomatoes basil,1
839,thali,1
840,carnitas de puercos  pork taco,1
841,baked ziti,1
842,ny pizza,1
843,lentils,1
844,food courses,1
845,afternoon,3
846,backyard,2
847,fried green plantains,1
848,comfort,5
849,corner booth table,1
850,painted ceiling,1
851,cocktail menu,3
852,served bread,1
853,mason  dixon,1
854,sweet cream,1
855,cake batter,1
856,banana,1
857,out,1
858,fois gras appetizer,1
859,chocolate milkshake,2
860,premixed,1
861,red borsht,1
862,margaritas,8
863,band,5
864,dylan,1
865,toppings,4
866,pepperoni,3
867,family style salad,1
868,soda can,1
869,bbq salmon,1
870,miso,1
871,regular items,1
872,salad s lettuce,1
873,counter,11
874,sunday,1
875,thin  crust individual meat pi,1
876,pasta with pesto,1
877,mojito,4
878,red sauce,1
879,fruit creme brule,1
880,vodka cream sauce,1
881,day pasta,1
882,gnocchi,4
883,spicy soup,1
884,single dishes,1
885,style,6
886,bottle of plum wine,1
887,apple pie,2
888,sales,1
889,beer s,2
890,saturday lunch,2
891,daily  changing menu,1
892,family place,1
893,table space,1
894,patrons waiting,1
895,table s,1
896,scallion pancakes,3
897,lo mein,1
898,hot dogs,2
899,cuties,1
900,and appetizers,1
901,fresh spinach pierogies,1
902,mushrooms,7
903,citrus dipping sauces,1
904,white tableclothes,1
905,rack,2
906,mixed veggies,1
907,dogs,1
908,menu options,1
909,plain dinner salad,1
910,salad choices,1
911,meat dishes,5
912,drink after dinner,1
913,rava masala dosa,1
914,condiments,2
915,onions,7
916,textures,1
917,apple,3
918,range,3
919,stir  fries,1
920,noodle dishes,1
921,tibetan dumplings,1
922,appearance,1
923,pasta dish,3
924,foie gras and oysters,1
925,pastry chef,1
926,water and chips  tostades ,1
927,items,6
928,pricing,3
929,stuffed chicken wings,1
930,bulletproof glass,1
931,roast chicken,2
932,chickens,1
933,dessert menu,9
934,black tea rose ice cream,1
935,jalapeno cheddar,1
936,cooking,4
937,martinis,6
938,glass empties,1
939,tuna,6
940,tapioca balls,1
941,roe,1
942,coconut water,1
943,kaffir lime juice,1
944,cocktails,12
945,neighborhood,1
946,chicken fried steak,2
947,pudding,1
948,sushi rice,1
949,dress codes,1
950,attitudes,2
951,pho  like broth with dumplings,1
952,restaurant,2
953,tseukune  chicken dumplings ,1
954,black bass special,1
955,chocolate pudding,1
956,raisin bagels,1
957,lox and cream cheese,1
958,orrechiete with sausage and ch,1
959,business,1
960,lounge after dinner,1
961,bagel owner,1
962,waiter service,1
963,chocolate,6
964,home cooking,1
965,sliced beef,1
966,takeout choices plus dishes,1
967,stewed beef,1
968,potato salad,1
969,argentine cuisine,1
970,plate of smoked meats,1
971,vegetable toppings,1
972,egg platter,1
973,signature breakfast,1
974,pear appetizer,1
975,asian pear,1
976,multigrain rice,1
977,dinner menu,4
978,chance,1
979,tuesdays,1
980,purity,1
981,locker room area,1
982,curry row fare,1
983,dining experiences,1
984,food order,1
985,manner,1
986,mussels  garlic shrimp,1
987,jamon serrano,1
988,spanish blue cheese,1
989,homemade bread,1
990,vegetarian dishes,4
991,karaoke downstairs,1
992,sesame  crusted tuna with ging,1
993,rice connotes,1
994,chinese fruit cake,1
995,round of mojitos,1
996,corn bread,1
997,light,1
998,noodle soup quantities,1
999,grilled calimari,1
1000,cheese plate,2
1001,roasted fruits,1
1002,expresso with ice cream,1
1003,glass wine,1
1004,house  roasted ham with celery,1
1005,green bean salad,1
1006,baby backs,1
1007,soul chicken,1
1008,plastic chairs,1
1009,back room,3
1010,new server,1
1011,oyster bar,1
1012,oyster selection,1
1013,pies,4
1014,decore,3
1015,wine room,1
1016,traditional thali  sampling pl,1
1017,final bill,1
1018,egg whites,1
1019,pam,1
1020,pop,1
1021,hummus,2
1022,skylight windows,1
1023,vegetable spring rolls,1
1024,pad kimow,1
1025,special dishes,2
1026,corner,5
1027,bowl of chips,1
1028,port,1
1029,pulled chicken tinga,1
1030,aztec,1
1031,side of dressing,1
1032,new york pizza,1
1033,cafe,2
1034,cocktail drink,1
1035,bangkok fruit punch,1
1036,market drinks,1
1037,course pasta,1
1038,course price,1
1039,wine cellar,1
1040,serving brunch,1
1041,fish soup marseille,1
1042,to  go drink,1
1043,beef ribs,1
1044,cocktail hour,1
1045,indian cuisine,1
1046,southern,1
1047,head  on shrimps with anchovy ,1
1048,shrimp pasta,1
1049,sugarcane,1
1050,pizza dough,1
1051,new place,1
1052,korean dish,1
1053,variety of fish,1
1054,squid,1
1055,cuban food,1
1056,cheese counter,1
1057,striped bass,1
1058,side dishes,6
1059,eggplant dip,1
1060,priced comfort food,1
1061,dog,1
1062,pot,5
1063,southern comfort,1
1064,spicy potatoes,1
1065,fries with red hot sauce,1
1066,business dinner,1
1067,bread served,1
1068,meat dish,1
1069,corner bistro,1
1070,chilled beets,1
1071,volocety pasta,1
1072,clientele,5
1073,starter,4
1074,french onion soup,2
1075,crab legs,1
1076,roll,4
1077,mixed drinks,3
1078,options,3
1079,brunch menu,4
1080,mixed green with mozzarella,1
1081,pasta with tomatoes anywhere,1
1082,thai food,4
1083,quantity of food,1
1084,noodle dish,1
1085,bar stools,1
1086,japanese food,3
1087,take  out,5
1088,lemon goat cheesecake,1
1089,pre  fixe,2
1090,people waiting,1
1091,served platters of shrimp,1
1092,wings,2
1093,special,3
1094,ground beef,1
1095,live jazz,1
1096,pecan pie,1
1097,new fall menu,1
1098,black cod with miso broth,1
1099,people,4
1100,apple martini,1
1101,perfection,1
1102,trends,1
1103,gourmet comfort food,1
1104,chorizo,2
1105,water glass,3
1106,lamp,1
1107,anipasto,1
1108,wasabi mashed potatoes,1
1109,adaquate,1
1110,infamous chicken,1
1111,chicken kiev,1
1112,crab croquettes,1
1113,salade,1
1114,hovering wait staff,1
1115,interior decor,1
1116,black cod,1
1117,sea bass,1
1118,staff members,1
1119,service possible,1
1120,zen,2
1121,open kitchen,3
1122,cooks,5
1123,reception dinner,1
1124,dining staff,1
1125,delivered,1
1126,wasabi  honey poached garlic s,1
1127,accordingly,1
1128,goose fat potatoes,1
1129,presentation,4
1130,a chicken sandwich on baguette,1
1131,trays,2
1132,busboy,10
1133,fish selections,1
1134,buns,1
1135,caesar salad,4
1136,bowl of iceberg lettuce,1
1137,dressing,2
1138,thin chicken,1
1139,vintages,1
1140,the wines,1
1141,fires,1
1142,mashed potatoes and salad,1
1143,take  out pies,1
1144,hosts,2
1145,noodles in a butter sauce,1
1146,texture,5
1147,tastes,1
1148,daily specials,2
1149,lunch menu,3
1150,steak tartare,4
1151,escargot,2
1152,goat cheese tart,1
1153,noise level,3
1154,wait time,1
1155,sushi chef,5
1156,almond,1
1157,pepper man,1
1158,effect,1
1159,marinara sauce,1
1160,peruvian style rotisserie chic,1
1161,side dish,1
1162,non  alcoholic drink,1
1163,bruschetta,2
1164,line,2
1165,bar finger food,1
1166,entrees of smoked fish,1
1167,lamb salad,1
1168,clay pot salmon,1
1169,lobster rolls,1
1170,coconut cake,1
1171,margarita,4
1172,shrimp roll,1
1173,pearl room,2
1174,iceberg lettuce,3
1175,vietnamese lemon grass chicken,1
1176,summer,1
1177,coffee place,1
1178,grey dog,1
1179,seasoning,4
1180,yoguart  mint  jalipeno sauce,1
1181,green tea tiramisu,1
1182,solution,1
1183,shrimp themselves,1
1184,bowl of udon,1
1185,dining rooms,2
1186,desert,6
1187,the sauces,1
1188,sesame,2
1189,wine next,1
1190,sommelier,2
1191,mussles appetizer,1
1192,cherry lime rickeys,1
1193,egg creams,1
1194,gardens,1
1195,drink s,1
1196,outdoor tables,1
1197,suspects,1
1198,french toast  served,1
1199,ice tea,1
1200,glasses of wine,1
1201,frog,1
1202,sandwich,3
1203,lobster mac cheese,1
1204,octopus salad,1
1205,tart,1
1206,spoiled salad,1
1207,grain salad,1
1208,calf liver,1
1209,roast onions,1
1210,portions of fries,1
1211,chow bar,1
1212,shrimp seviche,2
1213,cocktail sauce shines,1
1214,fishes,1
1215,mussels with fries,1
1216,carmelized onions atop,1
1217,darn,1
1218,lobster bisque,6
1219,greens,5
1220,champaign,1
1221,chopsticks,3
1222,outdoor seating,2
1223,tap water,2
1224,spumoni,1
1225,foi gras empanadas,1
1226,dumpling,3
1227,view,3
1228,food diners,1
1229,smoked beef brisket,1
1230,beer and wine,1
1231,wild mushrooms,1
1232,guy selling hotdogs,1
1233,counter service,1
1234,pastrami,1
1235,the tea room,1
1236,tea menus,1
1237,drink afterward,1
1238,shrimp tapas,1
1239,chocolate marquise served with,1
1240,pistachios,1
1241,deep fried fish,1
1242,filet,4
1243,tire,1
1244,selection of wines,2
1245,wine bar,2
1246,sweet tea,2
1247,coriander and honey pork ribs,1
1248,hour meal,1
1249,fruit salad,1
1250,omelet,2
1251,spanish tapas fare,1
1252,baby eggplants and olives,1
1253,pre  show dinner,1
1254,industry,1
1255,cheese pizza,1
1256,topping,2
1257,walls,3
1258,thai cooking,1
1259,pinot noir,1
1260,sizes,2
1261,ordering,2
1262,spaced tables,1
1263,wine menu,2
1264,halibut cheek appetizer,1
1265,portion of foie gras,1
1266,goat cheese ravioli,1
1267,bar staff,1
1268,marinara sicilian,1
1269,specialty pizzas,2
1270,ravioli,3
1271,rosas pizza,1
1272,main course,10
1273,lunches,1
1274,chips guac,1
1275,creamed spinach,2
1276,frieeees,1
1277,hint,2
1278,scene service,1
1279,shrimps,3
1280,pork sandwhich,1
1281,calamari salad,4
1282,panini,1
1283,prosciutto,2
1284,mozzarella,2
1285,mushroom appetizer,1
1286,gross mayonnaise like sauce,1
1287,art,1
1288,white acrylic tables,1
1289,spanish music,1
1290,burrito,1
1291,refilled,1
1292,private,1
1293,dress,1
1294,vodka,3
1295,monkfish liver,1
1296,fava bean hummus chips,1
1297,soy sauce,4
1298,sushi rolls,2
1299,half pie toppings,1
1300,live,1
1301,box,3
1302,artifacts,1
1303,sicilian slice of pizza,1
1304,pre  theater,2
1305,bowls,1
1306,rosemary roast chicken,1
1307,springy grilled squid,1
1308,dinners of salmon,1
1309,tomato soup,1
1310,beet salad,3
1311,melon soup,1
1312,orange  and  caramel,1
1313,garlic empowered sauce,1
1314,veal cutlet,1
1315,seating lines,1
1316,apple dessert,1
1317,apple jelly,1
1318,salad of frisee,1
1319,calle,1
1320,mojitos,7
1321,braised beef,1
1322,pounded chicken,1
1323,garlic shrimp,2
1324,served with whipped plaintains,1
1325,individual,1
1326,tuna carpaccio with wasabi cre,1
1327,lobster tempura with tarter sa,1
1328,eggs benedict,4
1329,noon lunch,1
1330,family,3
1331,scallion,1
1332,shell,1
1333,falafel,2
1334,sicilian slice,1
1335,grilled veggies,1
1336,takeout spot,1
1337,edamame,2
1338,plate of oysters,1
1339,afternoon tea,1
1340,pot of tea,2
1341,tea sandwiches,2
1342,fish and cajun shrimp app,1
1343,poo platters,1
1344,appetizer portions,1
1345,raspberry martini,1
1346,steak frites,5
1347,ribbon sushi,1
1348,take out window,1
1349,parmesan fries,1
1350,house wine selections,1
1351,duck burrito with mole sauce,1
1352,homefires,1
1353,mixed grill,1
1354,platter with onions,1
1355,bar bites,1
1356,decoration,1
1357,yogurt,1
1358,norm,1
1359,chilean sea bass,1
1360,decorations,1
1361,mixed crowd,1
1362,windowed bar,1
1363,front waiting area,1
1364,prix fixe pasta,1
1365,avg food,1
1366,outdoor garden,2
1367,spinach dish,1
1368,back kitchen,1
1369,deliverymen,1
1370,bar b  c,1
1371,chili seared shrimp appetizer,1
1372,maple turkey breast wrap,1
1373,yellowfin tuna burger,1
1374,tofu,3
1375,usda prime dry  cut steaks,1
1376,vegetable sides,1
1377,veal and pork chops,1
1378,bowl,4
1379,garlic sauce,1
1380,duck confit lamb shank,1
1381,pony,1
1382,staff member,1
1383,bbq,2
1384,cole slaw,1
1385,herbs,2
1386,final straw,1
1387,shanghai gourmet,1
1388,indian,1
