,labels,frequency
432,bluetooth speaker,1
433,51inch super amoled display,1
434,on  screen controls,1
435,game in the background,1
436,sound quality,1
437,external headphones,1
438,2 gb of ram,1
439,qualcomm snapdragon 801 proces,1
440,wireless charging back plate,1
441,usb 30,1
442,water resistant,1
443,ultra power saving mode,3
444,applications,3
445,internet access,1
446,access to the camera,1
447,swappable back cover,1
448,glossy design,1
449,matte backing,1
450,screen size,1
451,resolution of 1920 by 1080,1
452,801 chip,1
453,back case,1
454,texture,1
455,feeling,1
456,aesthetic design,1
457,corners,1
458,headphones jack,1
459,cover door for the micro usb 3,1
460,cover,1
461,micro usb ports,1
462,rubber gasket,1
463,color accuracy,1
464,saturation,1
465,button,1
466,fingerprint reader,3
467,appstore,2
468,red light,1
469,software,8
470,android 442 kitkat,1
471,touchwiz software,1
472,quad  core 801 chip from snapd,1
473,performances,1
474,personal usage,1
475,menu structure within the sett,1
476,my magazine feature,1
477,blink feed,1
478,my news applications,1
479,battery performance,1
480,mode,2
481,wifi,1
482,bluetooth constant updating,1
483,color pixels,1
484,gray scale display,1
485,charger,2
486,adrenal 330 graphics card,1
487,everyday usage,1
488,mega pixel count,1
489,detail of the photos,1
490,low light shots,1
491,details,1
492,16 megapixel count,1
493,uhd video at 3840 by 2160,1
494,ois,1
495,autofocus,1
496,technology,1
497,ois on the video camera,1
